condition,sample,Basal,Ciliated,Dendritic,Deuterosomal,DevelopingCiliated,Enteroendocrine,Erythroblasts,Goblet,Ionocytes,Macrophages,Secretory,Squamous,T,B,DevelopingSecretoryandGoblet,MitoticBasal
Control,Control_P1,13,133,2,2,11,1,1,10,1,1,9,173,57,0.653076083,0.653076083,0.653076083
Control,Control_P10,100,646,3,2,1,0.650257097,577,91,14,32,13,18,114,9,19,5
Control,Control_P11,629,59,0.65145514,15,1,0.65145514,0.65145514,83,5,2,29,17,27,0.65145514,178,119
Control,Control_P12,15,59,0.695675676,0.695675676,2,0.695675676,0.695675676,7,0.695675676,0.695675676,0.695675676,6,0.695675676,0.695675676,10,0.695675676
Control,Control_P13,2,35,0.696287279,0.696287279,5,0.696287279,0.696287279,16,1,0.696287279,0.696287279,27,2,0.696287279,0.696287279,0.696287279
Control,Control_P14,17,155,0.660976062,0.660976062,4,1,0.660976062,29,10,0.660976062,0.660976062,26,0.660976062,0.660976062,31,1
Control,Control_P15,23,393,0.653216597,2,2,1,1,38,47,0.653216597,2,6,9,0.653216597,4,0.653216597
Control,Control_P2,19,13,0.744413408,1,0.744413408,1,0.744413408,1,0.744413408,0.744413408,0.744413408,1,0.744413408,0.744413408,1,4
Control,Control_P3,19,1438,4,5,20,2,2,39,6,1,1,43,19,0.650260907,14,7
Control,Control_P4,0.65386374,277,1,0.65386374,2,1,0.65386374,45,5,1,4,65,37,1,0.65386374,1
Control,Control_P5,9,555,2,5,15,1,1,37,2,1,9,20,56,1,1,2
Control,Control_P6,6,77,0.669944925,0.669944925,2,1,0.669944925,25,0.669944925,3,2,4,8,0.669944925,3,0.669944925
Control,Control_P7,1,73,1,2,638,0.653343886,0.653343886,9,0.653343886,0.653343886,7,15,15,0.653343886,0.653343886,1
Control,Control_P8,58,31,1,1,227,0.652157263,4,12,0.652157263,3,22,22,9,1,1,1
Control,Control_P9,1,468,0.653808022,0.653808022,4,1,0.653808022,58,1,2,3,14,5,0.653808022,1,0.653808022
COVID19,COVID19_P12,5,14,0.671392405,2,39,0.671392405,0.671392405,3,1,1,26,4,6,0.671392405,1,0.671392405
COVID19,COVID19_P13,18,35,26,27,204,0.651159599,0.651159599,35,12,92,80,35,159,3,1,3
COVID19,COVID19_P14,3,24,1,12,183,0.657835475,0.657835475,7,0.657835475,18,125,9,0.657835475,0.657835475,0.657835475,0.657835475
COVID19,COVID19_P15,2,27,0.652539826,3,784,0.652539826,0.652539826,4,0.652539826,16,110,18,35,3,0.652539826,0.652539826
COVID19,COVID19_P17,4,22,1,8,349,0.651508839,0.651508839,13,1,33,395,2,12,1,0.651508839,1
COVID19,COVID19_P18,1,9,0.663295122,7,10,0.663295122,0.663295122,9,0.663295122,0.663295122,185,2,0.663295122,0.663295122,2,2
COVID19,COVID19_P19,0.653140875,5,75,0.653140875,8,0.653140875,0.653140875,8,1,568,55,63,13,15,0.653140875,0.653140875
COVID19,COVID19_P2,3,108,3,45,5,1,0.652586471,109,9,5,7,23,1,1,0.652586471,8
COVID19,COVID19_P20,8,28,5,36,383,0.650624061,0.650624061,13,93,9,1304,83,54,6,0.650624061,11
COVID19,COVID19_P21,0.75,7,0.75,0.75,7,0.75,0.75,5,2,1,13,0.75,2,2,0.75,0.75
COVID19,COVID19_P23,1,144,0.658391261,3,18,0.658391261,0.658391261,14,6,0.658391261,95,20,3,0.658391261,2,0.658391261
COVID19,COVID19_P26,14,314,0.65208282,10,11,1,0.65208282,90,11,4,99,253,0.65208282,0.65208282,3,4
COVID19,COVID19_P27,0.68343697,9,0.68343697,3,9,0.68343697,1,19,1,7,39,0.68343697,5,0.68343697,0.68343697,0.68343697
COVID19,COVID19_P28,5,128,0.651176826,13,13,1,0.651176826,835,3,4,18,38,19,1,0.651176826,1
COVID19,COVID19_P3,0.684210526,23,0.684210526,0.684210526,33,1,0.684210526,4,0.684210526,3,5,34,0.684210526,0.684210526,1,0.684210526
COVID19,COVID19_P30,2,3,0.672613738,1,1,1,0.672613738,4,0.672613738,3,2,98,0.672613738,0.672613738,0.672613738,1
COVID19,COVID19_P31,142,37,0.653113868,7,5,1,0.653113868,45,2,12,4,7,44,0.653113868,95,8
COVID19,COVID19_P32,216,455,0.65050821,198,41,0.65050821,396,230,17,4,18,18,32,2,13,24
COVID19,COVID19_P38,19,19,0.734219269,1,1,1,0.734219269,0.734219269,0.734219269,0.734219269,1,0.734219269,9,0.734219269,0.734219269,0.734219269
COVID19,COVID19_P4,9,940,0.651007512,14,33,2,0.651007512,88,2,0.651007512,150,432,7,0.651007512,2,1
COVID19,COVID19_P9,6,10,0.670263789,3,2,1,0.670263789,43,1,0.670263789,7,2,2,0.670263789,8,1
